,County,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained,Value
0,RANDOLPH,0.6164497129771928,-0.1792360587532065,0.530310426810322,-0.2854352252717304,-1.4787448893400696,0.2705000737292168,0.0,0.0,1.1788315753116774,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,157.1
1,MIAMI,-0.5410564463016915,-0.0035566746206846,0.7727569243550939,0.1065531227695006,-1.0207870499812937,0.2579729090938878,0.0,0.2822726723825582,0.5429597027295852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,160.56842105263158
2,TIPPECANOE,0.1766650972032641,-0.1019391569924356,-0.351358803439843,1.7388148634338392,-0.929979315212724,0.165921062715382,0.0,0.0,-0.887847660077276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,173.91
3,UNION,1.4558164564156535,-0.0097777891862757,0.0996387900914876,0.0114122011153277,0.1516990382792137,0.1945720005979967,0.0,0.0,0.6015536619537467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,173.16190476190476
4,TIPTON,2.5882977538923333,0.1694179951677226,-0.0057116227754164,-0.0114122011153277,-0.6707123737623296,0.2906023944023063,0.0,0.0,1.168150133404236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,183.22857142857143
5,MONROE,0.4847849925737971,2.631985460450815,-0.3589678341731332,-0.6607866777898366,1.3876807302678382,-1.1431991333911895,0.0,0.0,-1.2946733385376423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,146.9952380952381
6,PUTNAM,0.9762971824976814,0.7345357102197981,-0.1736444579916155,-0.0186117929876368,0.1743476121669346,-0.139121450537609,0.0,0.0,1.2513585658632047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,165.465
7,VIGO,-1.0033910138904611,0.5721168119643902,-0.1834441409014863,0.2065518285064193,0.9860706713601292,-0.2575733834844427,0.0,0.2727803170281008,0.7852853019717194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,156.2736842105263
8,WABASH,-0.1258424172956857,-0.1398787726975052,0.9575170652884608,0.0362641366691688,-0.9839008756888914,0.2311501230310602,0.0,0.0181532248670025,0.6713625689215198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,163.78
9,STEUBEN,-1.1144747247840716,-0.1882738265615461,1.318125599433378,0.4988526050638893,-0.5640805589313748,0.1180404889054634,0.0,1.568486822911601,0.6283811684552505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,140.0611111111111
10,CLINTON,1.6339253636207234,0.6198652076581161,0.068618353465647,0.1303783161441755,-0.4379351685713027,0.2617004387211064,0.0,0.0,1.3374261523122188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,182.57999999999998
11,CARROLL,0.4976045803663479,0.0219242653186744,0.4530695996197938,0.6335566901677846,-0.0216879827080173,0.2400333563004116,0.0,0.0,-0.1648256786241497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,180.78
12,FAYETTE,1.3397119634155128,0.5996435801122094,0.0445256666600999,-0.0773465368982823,0.0377611872231052,0.0577570743006951,0.0,0.0,0.6646161310024156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,161.3
13,JENNINGS,0.6204733450420798,5.210210852562292,-0.5119589090870122,-0.6682044939667026,0.5686724242053524,-0.8326523458568154,0.0,0.0,-0.7970850878359449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,149.12857142857143
14,KNOX,-1.4228016969171169,0.1723083250899752,0.242173462383706,-0.0907505576455874,1.673948846387987,-0.2913037577281895,0.0,7.0638736263736375,-0.3303470791435098,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,165.6263157894737
15,JEFFERSON,0.0782398574816964,5.724994481042841,-0.218751856444195,-0.7597450235290754,0.3402624509122885,-0.9227367013798696,0.0,0.0,-0.5509810877072644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,144.1
16,BROWN,0.626000799809084,3.212585135213309,-0.6350208762806783,-0.6736148569230408,0.4911018259341096,-0.9495735808498984,0.0,0.0,-0.867073660637088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,121.85
17,CRAWFORD,-0.6914391264000357,0.8419203333198189,-0.1152490424864195,-0.640451816368832,-0.0299014324939582,-1.2721880375519554,0.0,0.0,-1.7222480467494186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,131.35000000000002
18,FULTON,-1.603575621920903,-0.1514262868985346,1.8282863928669488,1.3707495619957797,-0.0051516047750166,-0.0279771868577829,0.0,2.563439111908499,-0.0203143271753132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,163.39000000000001
19,KOSCIUSKO,-2.1865473047824526,-0.1745577883639857,0.7555831323116546,1.4158000946313152,-0.6301680845077989,0.1532442908454634,0.0,0.9167041137301346,-0.6040949947055851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,161.84761904761905
20,JACKSON,-0.6913790901298588,3.0251531231913056,-0.623799160602289,-0.3234254856233671,0.2905460927196227,-0.9104942440269276,0.0,0.0,-1.1280583899899217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,143.43157894736842
21,FRANKLIN,-0.5241823309439919,1.1668373376017418,0.0557427763762736,-0.1704385476469864,-0.7684352002681847,-0.122208388671111,0.0,0.0,1.2055436437319758,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,156.95714285714286
22,LA PORTE,1.5493994731403162,-0.3052891416665161,2.4892647693159238,0.8962314794713543,1.439448756970741,-0.1423147416500002,0.0002865329512893,6.701387795585513,0.1394123755396966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,151.28095238095239
23,HENRY,-0.4985684224228862,-0.2560660652743246,0.0033920257358813,0.0440558860407242,-1.240354434113862,0.3163364020673805,0.0,0.0,1.275325036640398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,164.52631578947367
24,GRANT,-0.1652700269942323,-0.2865868578281474,0.682270857657248,-0.3901993250209367,-1.9986666780450488,0.2474966318706775,0.0,0.0270862704957574,0.7239750949129875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,167.23529411764707
25,BENTON,1.0595981579437073,0.32322598228497,0.9230820652925904,0.1839962466433643,-0.2029111283135814,0.3543223680884166,0.0008219178082191,0.2533493903356913,-0.0770265507925321,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,179.3
26,DECATUR,-0.0248425831379282,1.436463830643753,-0.0024536611291374,-0.2665286301934142,-0.4163102647854976,-0.1260599037931428,0.0,0.0,1.7557478087019942,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,168.75238095238097
27,BLACKFORD,-0.045505873560047,-0.080665964116484,1.0144657467871987,-0.5379071835163135,-1.9828163942003811,0.3270900986641799,0.0,0.0,0.3351141453690294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,158.45499999999998
28,GREENE,-0.9991347426474532,0.4663049081056429,0.002453661129137,-0.3947024053108324,0.2563368076907267,-0.7929516757979933,0.0,0.9807692307692308,-0.5725740007788239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,153.83529411764704
29,MARSHALL,-0.277170044723743,-0.5910414334456887,0.7504775403449729,2.4759547794779007,-1.1048698016391976,-0.1079058635710787,0.0,0.6775486616888923,-1.4936394610849135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,160.6
30,MARION,0.9425382291323338,-0.4197484447061617,-0.3192198780003241,0.6630099922612981,-0.3982826094114349,0.3553979500533388,0.0,0.0,1.223055476253024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,154.95000000000002
31,HENDRICKS,-0.062983443052667,-0.0085034002236903,-0.2065787002743844,0.2743172397642276,-0.6833303687621137,0.2709532739745841,0.0,0.0,1.8069126216225615,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,167.02380952380952
32,DUBOIS,-0.136121105626386,0.8997982343185624,-0.6071613696860396,-0.6575314393930913,1.0467707436166545,-1.1487553644269597,0.0,4.267962806424348,-1.3673897780850552,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,156.65238095238095
33,ELKHART,-2.1749611256625125,-0.5288985195915337,0.074055064083703,2.655354608093805,-1.8555005800166104,-0.0631182690853183,0.0,0.8858560794044663,-1.4558800693709608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,158.28
34,ADAMS,0.993409173269547,-0.0963722906991397,1.1360980165841088,-0.6767871654276779,-0.6479676690470428,0.216430532919189,0.0,0.0,0.8343047508940876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,153.17000000000002
35,WARRICK,0.1739704488408328,-0.1364866423959039,-0.29209551264293,-0.7586405620144211,1.6024582673641974,-0.896620303140235,0.0,5.326855521527658,-0.4400910274090809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,146.115
36,SHELBY,-0.3164726211370713,-0.1272445011693205,-0.2259367268030943,0.6374360770434796,-0.6661523461004218,0.2722861470572728,0.0,0.0,1.047179696025849,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,158.27142857142857
37,NEWTON,-2.315142367617037,-0.034209273463974,1.3375381302679945,0.9769391667103544,0.4297754905295176,0.2288074403889017,0.000576923076923,3.423261834319532,-0.8978143967059188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,174.24285714285713
38,POSEY,-0.4917141055319666,-0.1457941165607042,-0.2269866192366624,-0.3137520136460603,1.9136478764034504,-0.446777418888907,0.0,2.348102036467691,-0.3892839226472027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,167.01904761904763
39,PORTER,-0.9986816952736236,-0.317552292943869,2.443899282750435,0.2550556003049318,0.2433348195441554,-0.1247462537399789,0.0001883239171374,3.511982367914579,0.405858813327089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,165.01904761904763
40,SCOTT,0.4411187728626866,10.937906602950637,-0.5211464521611799,-0.7808970305703512,0.7433556930774158,-1.2140202728475906,0.0,0.0,-1.0235222502031731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,149.67894736842106
41,WASHINGTON,0.5195546991383005,3.3000689824892118,-0.3349479728204559,-0.6330086102669986,1.3338483918377515,-1.192720964800022,0.0,0.0,-0.8876459191714076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,141.525
