Location,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained
Randolph County,0.6164497129771928,-0.17923605875320656,0.530310426810322,-0.28543522527173043,-1.4787448893400696,0.2705000737292168,0.0,0.0,1.1788315753116774,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miami County,-0.5410564463016915,-0.0035566746206846037,0.7727569243550939,0.10655312276950063,-1.0207870499812937,0.2579729090938878,0.0,0.28227267238255827,0.5429597027295852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Tippecanoe County,0.1766650972032641,-0.10193915699243565,-0.351358803439843,1.7388148634338392,-0.929979315212724,0.16592106271538204,0.0,0.0,-0.887847660077276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
Union County,1.4558164564156535,-0.009777789186275731,0.0996387900914876,0.011412201115327723,0.1516990382792137,0.19457200059799676,0.0,0.0,0.6015536619537467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
Tipton County,2.5882977538923333,0.16941799516772268,-0.005711622775416442,-0.011412201115327723,-0.6707123737623296,0.2906023944023063,0.0,0.0,1.168150133404236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Monroe County,0.48478499257379715,2.631985460450815,-0.3589678341731332,-0.6607866777898366,1.3876807302678382,-1.1431991333911895,0.0,0.0,-1.2946733385376423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Putnam County,0.9762971824976814,0.7345357102197981,-0.17364445799161554,-0.018611792987636818,0.1743476121669346,-0.139121450537609,0.0,0.0,1.2513585658632047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Vigo County,-1.0033910138904611,0.5721168119643902,-0.18344414090148634,0.20655182850641932,0.9860706713601293,-0.25757338348444275,0.0,0.2727803170281008,0.7852853019717194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Wabash County,-0.1258424172956857,-0.1398787726975052,0.9575170652884607,0.03626413666916885,-0.9839008756888914,0.23115012303106028,0.0,0.01815322486700254,0.6713625689215198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Steuben County,-1.1144747247840716,-0.18827382656154612,1.318125599433378,0.4988526050638893,-0.5640805589313748,0.11804048890546344,0.0,1.568486822911601,0.6283811684552505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Clinton County,1.6339253636207234,0.6198652076581161,0.06861835346564707,0.13037831614417553,-0.43793516857130277,0.2617004387211064,0.0,0.0,1.3374261523122188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
Carroll County,0.49760458036634797,0.02192426531867449,0.4530695996197938,0.6335566901677846,-0.021687982708017327,0.2400333563004116,0.0,0.0,-0.16482567862414976,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
Fayette County,1.3397119634155128,0.5996435801122094,0.04452566666009992,-0.07734653689828239,0.037761187223105216,0.05775707430069514,0.0,0.0,0.6646161310024156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Jennings County,0.6204733450420798,5.210210852562292,-0.5119589090870122,-0.6682044939667026,0.5686724242053524,-0.8326523458568154,0.0,0.0,-0.7970850878359449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Knox County,-1.4228016969171169,0.17230832508997526,0.24217346238370605,-0.09075055764558748,1.673948846387987,-0.29130375772818956,0.0,7.0638736263736375,-0.33034707914350986,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Jefferson County,0.07823985748169641,5.724994481042841,-0.21875185644419504,-0.7597450235290754,0.3402624509122885,-0.9227367013798695,0.0,0.0,-0.5509810877072644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Brown County,0.626000799809084,3.212585135213309,-0.6350208762806783,-0.6736148569230408,0.49110182593410967,-0.9495735808498983,0.0,0.0,-0.867073660637088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Crawford County,-0.6914391264000357,0.8419203333198189,-0.1152490424864195,-0.640451816368832,-0.029901432493958224,-1.2721880375519554,0.0,0.0,-1.7222480467494186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
Fulton County,-1.603575621920903,-0.1514262868985346,1.8282863928669486,1.3707495619957797,-0.0051516047750166495,-0.027977186857782974,0.0,2.563439111908499,-0.020314327175313292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Kosciusko County,-2.1865473047824526,-0.17455778836398572,0.7555831323116546,1.4158000946313152,-0.6301680845077989,0.15324429084546343,0.0,0.9167041137301346,-0.6040949947055851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Jackson County,-0.6913790901298588,3.0251531231913056,-0.623799160602289,-0.32342548562336715,0.2905460927196227,-0.9104942440269277,0.0,0.0,-1.1280583899899215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Franklin County,-0.5241823309439919,1.1668373376017418,0.05574277637627369,-0.1704385476469864,-0.7684352002681847,-0.12220838867111103,0.0,0.0,1.2055436437319758,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
La Porte County,1.5493994731403162,-0.3052891416665161,2.4892647693159233,0.8962314794713543,1.439448756970741,-0.14231474165000021,0.0002865329512893,6.701387795585513,0.13941237553969665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Henry County,-0.4985684224228862,-0.2560660652743246,0.0033920257358813193,0.04405588604072429,-1.240354434113862,0.3163364020673805,0.0,0.0,1.2753250366403979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Grant County,-0.1652700269942323,-0.2865868578281474,0.682270857657248,-0.3901993250209367,-1.9986666780450488,0.24749663187067752,0.0,0.027086270495757424,0.7239750949129875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Benton County,1.0595981579437073,0.32322598228497007,0.9230820652925903,0.18399624664336434,-0.20291112831358143,0.3543223680884166,0.0008219178082191,0.2533493903356913,-0.07702655079253215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0
Decatur County,-0.024842583137928226,1.436463830643753,-0.0024536611291374587,-0.2665286301934142,-0.41631026478549765,-0.12605990379314289,0.0,0.0,1.7557478087019942,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Blackford County,-0.04550587356004707,-0.08066596411648402,1.0144657467871987,-0.5379071835163135,-1.9828163942003814,0.32709009866417993,0.0,0.0,0.3351141453690294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Greene County,-0.9991347426474532,0.4663049081056429,0.002453661129137039,-0.39470240531083245,0.25633680769072675,-0.7929516757979933,0.0,0.9807692307692308,-0.5725740007788239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Marshall County,-0.277170044723743,-0.5910414334456887,0.7504775403449729,2.4759547794779007,-1.1048698016391976,-0.1079058635710787,0.0,0.6775486616888923,-1.4936394610849137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
Marion County,0.9425382291323338,-0.4197484447061617,-0.31921987800032414,0.6630099922612981,-0.3982826094114349,0.35539795005333885,0.0,0.0,1.2230554762530241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Hendricks County,-0.06298344305266701,-0.008503400223690376,-0.20657870027438444,0.2743172397642276,-0.6833303687621137,0.27095327397458413,0.0,0.0,1.8069126216225617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Dubois County,-0.136121105626386,0.8997982343185624,-0.6071613696860396,-0.6575314393930913,1.0467707436166545,-1.1487553644269595,0.0,4.267962806424348,-1.3673897780850552,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Elkhart County,-2.1749611256625125,-0.5288985195915337,0.07405506408370305,2.6553546080938055,-1.8555005800166102,-0.06311826908531838,0.0,0.8858560794044663,-1.4558800693709608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
Adams County,0.993409173269547,-0.0963722906991397,1.1360980165841088,-0.6767871654276779,-0.6479676690470428,0.21643053291918904,0.0,0.0,0.8343047508940876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Warrick County,0.17397044884083288,-0.1364866423959039,-0.29209551264293,-0.7586405620144211,1.6024582673641974,-0.896620303140235,0.0,5.326855521527658,-0.44009102740908096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0
Shelby County,-0.31647262113707136,-0.12724450116932057,-0.22593672680309437,0.6374360770434796,-0.6661523461004218,0.2722861470572728,0.0,0.0,1.047179696025849,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
Newton County,-2.315142367617037,-0.03420927346397409,1.3375381302679945,0.9769391667103544,0.4297754905295176,0.22880744038890172,0.000576923076923,3.4232618343195322,-0.8978143967059188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
Posey County,-0.49171410553196665,-0.14579411656070423,-0.2269866192366624,-0.31375201364606037,1.9136478764034504,-0.446777418888907,0.0,2.348102036467691,-0.3892839226472027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
Porter County,-0.9986816952736235,-0.31755229294386905,2.443899282750435,0.2550556003049318,0.24333481954415542,-0.12474625373997895,0.0001883239171374,3.511982367914579,0.40585881332708906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
Scott County,0.44111877286268664,10.937906602950635,-0.5211464521611799,-0.7808970305703512,0.7433556930774158,-1.2140202728475906,0.0,0.0,-1.0235222502031731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
